[17/40][100/504]	Loss_D: 0.1097	Loss_G: 5.6547	D(x): 0.9554	D(G(z)): 0.0527 / 0.0122
[17/40][150/504]	Loss_D: 1.8496	Loss_G: 3.6534	D(x): 0.7411	D(G(z)): 0.4203 / 0.2920
[17/40][200/504]	Loss_D: 0.2107	Loss_G: 2.7607	D(x): 0.8644	D(G(z)): 0.0399 / 0.1244
[17/40][250/504]	Loss_D: 0.3078	Loss_G: 3.9773	D(x): 0.8136	D(G(z)): 0.0143 / 0.0507
[17/40][300/504]	Loss_D: 0.0988	Loss_G: 4.5213	D(x): 0.9589	D(G(z)): 0.0493 / 0.0237
[17/40][350/504]	Loss_D: 0.4367	Loss_G: 3.4683	D(x): 0.7917	D(G(z)): 0.1029 / 0.0786
[17/40][400/504]	Loss_D: 0.1904	Loss_G: 3.2860	D(x): 0.8697	D(G(z)): 0.0270 / 0.0869
[17/40][450/504]	Loss_D: 0.1746	Loss_G: 4.2701	D(x): 0.9237	D(G(z)): 0.0703 / 0.0374
[17/40][500/504]	Loss_D: 0.4043	Loss_G: 5.8303	D(x): 0.9012	D(G(z)): 0.1629 / 0.0075
[18/40][0/504]	Loss_D: 0.2416	Loss_G: 4.2295	D(x): 0.8426	D(G(z)): 0.0250 / 0.0554
[18/40][50/504]	Loss_D: 0.0900	Loss_G: 4.7901	D(x): 0.9535	D(G(z)): 0.0355 / 0.0203
[18/40][100/504]	Loss_D: 0.1592	Loss_G: 4.6185	D(x): 0.8869	D(G(z)): 0.0141 / 0.0274
[18/40][150/504]	Loss_D: 0.1183	Loss_G: 4.4943	D(x): 0.9506	D(G(z)): 0.0416 / 0.0252
[18/40][200/504]	Loss_D: 0.0936	Loss_G: 5.2860	D(x): 0.9488	D(G(z)): 0.0338 / 0.0142
[18/40][250/504]	Loss_D: 1.1107	Loss_G: 11.0154	D(x): 0.9937	D(G(z)): 0.4896 / 0.0004
[18/40][300/504]	Loss_D: 0.0995	Loss_G: 5.0598	D(x): 0.9589	D(G(z)): 0.0475 / 0.0154
[18/40][350/504]	Loss_D: 0.2098	Loss_G: 5.6494	D(x): 0.9855	D(G(z)): 0.1546 / 0.0061
[18/40][400/504]	Loss_D: 0.1435	Loss_G: 6.0856	D(x): 0.9909	D(G(z)): 0.1080 / 0.0039
[18/40][450/504]	Loss_D: 0.0790	Loss_G: 5.8355	D(x): 0.9880	D(G(z)): 0.0594 / 0.0058
[18/40][500/504]	Loss_D: 0.0658	Loss_G: 4.7221	D(x): 0.9543	D(G(z)): 0.0151 / 0.0216
[19/40][0/504]	Loss_D: 0.0855	Loss_G: 5.9029	D(x): 0.9834	D(G(z)): 0.0616 / 0.0054
[19/40][50/504]	Loss_D: 0.0662	Loss_G: 6.5405	D(x): 0.9947	D(G(z)): 0.0479 / 0.0029
[19/40][100/504]	Loss_D: 0.0370	Loss_G: 7.2234	D(x): 0.9859	D(G(z)): 0.0211 / 0.0026
[19/40][150/504]	Loss_D: 0.4241	Loss_G: 3.8199	D(x): 0.7830	D(G(z)): 0.0512 / 0.1102
[19/40][200/504]	Loss_D: 0.2635	Loss_G: 2.2991	D(x): 0.8139	D(G(z)): 0.0155 / 0.1977
[19/40][250/504]	Loss_D: 0.1087	Loss_G: 5.2464	D(x): 0.9437	D(G(z)): 0.0370 / 0.0129
[19/40][300/504]	Loss_D: 0.0853	Loss_G: 4.4555	D(x): 0.9528	D(G(z)): 0.0285 / 0.0248
[19/40][350/504]	Loss_D: 0.2397	Loss_G: 6.1409	D(x): 0.9453	D(G(z)): 0.1324 / 0.0115
[19/40][400/504]	Loss_D: 0.7285	Loss_G: 5.4796	D(x): 0.9440	D(G(z)): 0.3701 / 0.0115
